,v2,predicted
3245,"Funny fact Nobody teaches volcanoes 2 erupt, tsunamis 2 arise, hurricanes 2 sway aroundn no 1 teaches hw 2 choose a wife Natural disasters just happens",ham
944,"I sent my scores to sophas and i had to do secondary application for a few schools. I think if you are thinking of applying, do a research on cost also. Contact joke ogunrinde, her school is one me the less expensive ones",ham
1044,"We know someone who you know that fancies you. Call 09058097218 to find out who. POBox 6, LS15HB 150p",spam
2484,Only if you promise your getting out as SOON as you can. And you'll text me in the morning to let me know you made it in ok.,ham
812,Congratulations ur awarded either å£500 of CD gift vouchers & Free entry 2 our å£100 weekly draw txt MUSIC to 87066 TnCs www.Ldew.com1win150ppmx3age16,spam
2973,"I'll text carlos and let you know, hang on",ham
2991,K.i did't see you.:)k:)where are you now?,ham
2942,No message..no responce..what happend?,ham
230,Get down in gandhipuram and walk to cross cut road. Right side &lt;#&gt; street road and turn at first right.,ham
1181,You flippin your shit yet?,ham
1912,For real tho this sucks. I can't even cook my whole electricity is out. And I'm hungry.,ham
1992,Free tones Hope you enjoyed your new content. text stop to 61610 to unsubscribe. help:08712400602450p Provided by tones2you.co.uk,spam
5435,I'm wif him now buying tix lar...,ham
4805,Call me when u finish then i come n pick u.,ham
401,Dear how is chechi. Did you talk to her,ham
1859,What's up. Do you want me to come online?,ham
1344,Were somewhere on Fredericksburg,ham
2952,"URGENT! Your mobile was awarded a å£1,500 Bonus Caller Prize on 27/6/03. Our final attempt 2 contact U! Call 08714714011",spam
501,When can Ì_ come out?,ham
3337,"K, if u bored up just come to my home..",ham
1945,Can Ì_ call me at 10:10 to make sure dat i've woken up...,ham
3142,Boy; I love u Grl: Hogolo Boy: gold chain kodstini Grl: Agalla Boy: necklace madstini Grl: agalla Boy: Hogli 1 mutai eerulli kodthini! Grl: I love U kano;-),ham
2422,A bloo bloo bloo I'll miss the first bowl,ham
381,"Yeah sure, give me a couple minutes to track down my wallet",ham
5567,"This is the 2nd time we have tried 2 contact u. U have won the å£750 Pound prize. 2 claim is easy, call 087187272008 NOW1! Only 10p per minute. BT-national-rate.",spam
4937,No it was cancelled yeah baby! Well that sounds important so i understand my darlin give me a ring later on this fone love Kate x,ham
79,Its not the same here. Still looking for a job. How much do Ta's earn there.,ham
5240,"Gud gud..k, chikku tke care.. sleep well gud nyt",ham
2554,I'll reach in ard 20 mins ok...,ham
5345,Wat Ì_ doing now?,ham
4379,Done it but internet connection v slow and canÛ÷t send it. Will try again later or first thing tomo.,ham
4789,Yup. Izzit still raining heavily cos i'm in e mrt i can't c outside.,ham
683,Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+,spam
5519,Can you pls send me that company name. In saibaba colany,ham
4315,"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later.",ham
393,Yes i think so. I am in office but my lap is in room i think thats on for the last few days. I didnt shut that down,ham
5541,Yeah it's jus rite...,ham
4546,Hey mate. Spoke to the mag people. WeÛ÷re on.  the is deliver by the end of the month. Deliver on the 24th sept. Talk later. ,ham
3599,I know you mood off today,ham
2225,Alrite jod hows the revision goin? Keris bin doin a smidgin. N e way u wanna cum over after college?xx,ham
881,"see, i knew giving you a break a few times woul lead to you always wanting to miss curfew. I was gonna gibe you 'til one, but a MIDNIGHT movie is not gonna get out til after 2. You need to come home. You need to getsleep and, if anything, you need to b studdying ear training.",ham
4625,Lol ... I knew that .... I saw him in the dollar store,ham
3997,We tried to call you re your reply to our sms for a video mobile 750 mins UNLIMITED TEXT free camcorder Reply or call now 08000930705 Del Thurs,spam
5015,Hey gals...U all wanna meet 4 dinner at nÌÂte? ,ham
23,Aft i finish my lunch then i go str down lor. Ard 3 smth lor. U finish ur lunch already?,ham
4479,"Y cant u try new invention to fly..i'm not joking.,",ham
1215,"that would be good Û_ I'll phone you tomo lunchtime, shall I, to organise something?",ham
1961,LOL that would be awesome payback.,ham
5339,You'd like that wouldn't you? Jerk!,ham
848,"Yeah there's barely enough room for the two of us, x has too many fucking shoes. Sorry man, see you later",ham
4294,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,spam
2664,He remains a bro amongst bros,ham
3407,Do you want a New Nokia 3510i colour phone DeliveredTomorrow? With 300 free minutes to any mobile + 100 free texts + Free Camcorder reply or call 08000930705,spam
351,If you're not in my car in an hour and a half I'm going apeshit,ham
3492,"Cool, text me when you head out",ham
3103,That's y i said it's bad dat all e gals know u... Wat u doing now?,ham
3315,I know girls always safe and selfish know i got it pa. Thank you. good night.,ham
1881,Ok.. ÌÏ finishing soon?,ham
3504,"life alle mone,eppolum oru pole allalo",ham
2380,"If i let you do this, i want you in the house by 8am.",ham
1598,Daddy will take good care of you :),ham
4733,Buy Space Invaders 4 a chance 2 win orig Arcade Game console. Press 0 for Games Arcade (std WAP charge) See o2.co.uk/games 4 Terms + settings. No purchase,spam
3299,Just do what ever is easier for you,ham
439,But i have to. I like to have love and arrange.,ham
2903,HI DARLIN I HOPE YOU HAD A NICE NIGHT I WISH I HAD COME CANT WAIT TO SEE YOU LOVE FRAN PS I WANT DIRTY ANAL SEX AND I WANT A 10 MAN GANG BANG,ham
1186,"Goodmorning, Today i am late for  &lt;#&gt; min.",ham
1728,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,ham
3975,I wish u were here. I feel so alone,ham
3050,"Awesome question with a cute answer: Someone asked a boy \how is ur life?\"" . . He smiled &amp; answered: . . \""She is fine!\"" Gudnite""",ham
1128,Ur HMV Quiz cash-balance is currently å£500 - to maximize ur cash-in now send HMV1 to 86688 only 150p/msg,spam
4500,So wat's da decision?,ham
315,K.k:)advance happy pongal.,ham
296,Unless it's a situation where YOU GO GURL would be more appropriate,ham
3298,"Honeybee Said: *I'm d Sweetest in d World* God Laughed &amp; Said: *Wait,U Havnt Met d Person Reading This Msg* MORAL: Even GOD Can Crack Jokes! GM+GN+GE+GN:)",ham
3864,"THATåÕS ALRITE GIRL, U KNOW GAIL IS NEVA WRONG!!TAKE CARE SWEET AND DONåÕT WORRY.C U L8TR HUN!LOVE Yaxxx",ham
8,WINNER!! As a valued network customer you have been selected to receivea å£900 prize reward! To claim call 09061701461. Claim code KL341. Valid 12 hours only.,spam
5003,There's someone here that has a year  &lt;#&gt;  toyota camry like mr olayiwola's own. Mileage is  &lt;#&gt; k.its clean but i need to know how much will it sell for. If i can raise the dough for it how soon after landing will it sell. Holla back.,ham
2968,Ma head dey swell oh. Thanks for making my day,ham
5194,Ok... Take ur time n enjoy ur dinner...,ham
2157,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!",ham
3669,Ok thanx... Take care then...,ham
4730,K:)eng rocking in ashes:),ham
5349,I'm home...,ham
2388,"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine \KUDI\""yarasu dhina vaazhthukkal. ..""",ham
2575,Now thats going to ruin your thesis!,ham
4085,Lemme know when you're here,ham
4328,1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No Cancer. 1Lemon/Day=No Fat. 1Cup Milk/day=No Bone Problms 3 Litres Watr/Day=No Diseases Snd ths 2 Whom U Care..:-),ham
3467,yay! finally lol. i missed our cinema trip last week :-(,ham
2245,How did you find out in a way that didn't include all of these details,ham
4269,Great. Hope you are using your connections from mode men also cos you can never know why old friends can lead you to today,ham
33,For fear of fainting with the of all that housework you just did? Quick have a cuppa,ham
1281,Am I the only one who doesn't stalk profiles?,ham
5145,Aiyar u so poor thing... I give u my support k... Jia you! I'll think of u...,ham
2598,Okie... Thanx...,ham
3532,"Sorry, I'll call later",ham
1253,Mum say we wan to go then go... Then she can shun bian watch da glass exhibition... ,ham
4707,"Did you say bold, then torch later. Or one torch and 2bold?",ham
2658,Not yet chikku..wat abt u?,ham
3479,What was she looking for?,ham
4483,Shopping? Eh ger i toking abt syd leh...Haha,ham
4700,I liked the new mobile,ham
3116,Now am free call me pa.,ham
3785,Wat r u doing?,ham
3547,"Single line with a big meaning::::: \Miss anything 4 ur \""Best Life\"" but",ham
1039,They just talking thats it de. They wont any other.,ham
3859,Yep. I do like the pink furniture tho.,ham
4383,Thanks honey but still haven't heard anything I will leave it a bit longer so not 2 crowd him and will try later - great advice thanks hope cardiff is still there!,ham
3403,Then Ì_ ask dad to pick Ì_ up lar... ÌÏ wan 2 stay until 6 meh...,ham
3710,"Sorry pa, i dont knw who ru pa?",ham
1643,U WILL SWITCH YOUR FONE ON DAMMIT!!,ham
1055,I'm at work. Please call,ham
1817,Well i will watch shrek in 3D!!B),ham
2780,Long after I quit. I get on only like 5 minutes a day as it is.,ham
290,Hey you told your name to gautham ah?,ham
2972,Happy New Year Princess!,ham
319,"Coffee cake, i guess...",ham
1467,I wont touch you with out your permission.,ham
1335,"Sometimes we put walls around our hearts,not just to be safe from getting hurt.. But to find out who cares enough to break the walls &amp; get closer.. GOODNOON:)",ham
1419,"\Speak only when you feel your words are better than the silence...\"" Gud mrng:-)""",ham
3548,"I got like $ &lt;#&gt; , I can get some more later though. Get whatever you feel like",ham
4388,"K I'm ready,  &lt;#&gt; ?",ham
5156,"Sir, I need Velusamy sir's date of birth and company bank facilities details.",ham
2462,"Rose needs water, season needs change, poet needs imagination..My phone needs ur sms and i need ur lovely frndship forever....",ham
3494,"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text",spam
5209,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop",ham
964,Are you this much buzy,ham
553,Ok. Every night take a warm bath drink a cup of milk and you'll see a work of magic. You still need to loose weight. Just so that you know,ham
2932,Yo do you know anyone  &lt;#&gt;  or otherwise able to buy liquor? Our guy flaked and right now if we don't get a hold of somebody its just 4 loko all night,ham
2801,And smile for me right now as you go and the world will wonder what you are smiling about and think your crazy and keep away from you ... *grins*,ham
5178,SMS AUCTION - A BRAND NEW Nokia 7250 is up 4 auction today! Auction is FREE 2 join & take part! Txt NOKIA to 86021 now!,spam
3872,"Happy or sad , one thing about past is- \Its no more\"" GOOD MORNING :-):-).""",ham
2841,aathi..where are you dear..,ham
1033,"OH MR SHEFFIELD! You wanna play THAT game, okay. You're the boss and I'm the nanny. You give me a raise and I'll give YOU one!!",ham
2231,"K, wen ur free come to my home and also tel vikky i hav sent mail to him also.. Better come evening il be free today aftr 6pm..:-)",ham
809,Ugh I don't wanna get out of bed. It's so warm.,ham
538,Ummmmmaah Many many happy returns of d day my dear sweet heart.. HAPPY BIRTHDAY dear,ham
4121,Doc prescribed me morphine cause the other pain meds aren't enough. Waiting for my mom to bring it. That med should kick in fast so I'm gonna try to be on later,ham
1103,Aiyah sorry lor... I watch tv watch until i forgot 2 check my phone.,ham
346,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.,ham
3318,Kay... Since we are out already ,ham
4738,We have pizza if u want,ham
1870,"Aight, I'll text you when I'm back",ham
696,"Aight, you close by or still down around alex's place?",ham
4160,Had your mobile 11 months or more? U R entitled to Update to the latest colour mobiles with camera for Free! Call The Mobile Update Co FREE on 08002986030,spam
2536,You do what all you like,ham
2650,Do you like shaking your booty on the dance floor?,ham
4808,"Don't worry though, I understand how important it is that I be put in my place with a poorly thought out punishment in the face of the worst thing that has ever happened to me. Brb gonna go kill myself",ham
5022,Anyway holla at me whenever you're around because I need an excuse to go creep on people in sarasota,ham
544,This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed,ham
1632,Hello my little party animal! I just thought I'd buzz you as you were with your friends ...*grins*... Reminding you were loved and send a naughty adoring kiss,ham
4713,Oops i thk i dun haf enuff... I go check then tell Ì_..,ham
1533,Horrible bf... I now v hungry...,ham
3295,Hi there. We have now moved in2 our pub . Would be great 2 c u if u cud come up.,ham
2384,"Sorry, I'll call later",ham
2726,No i am not having not any movies in my laptop,ham
5128,Wot about on wed nite I am 3 then but only til 9!,ham
3328,Sac will score big hundred.he is set batsman:-),ham
4050,"Motivate Behind every darkness, there is a shining light waiting for you to find it... Behind every best friend, there is always trust and love... BSLVYL",ham
3307,But i'm surprised she still can guess right lor...,ham
2067,Who's there say hi to our drugdealer,ham
2402,Oh oh... Wasted... Den muz chiong on sat n sun liao...,ham
2317,"Waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,Zindgi wo nahi he jo hum sochte hai Zindgi wo hai jo ham jeetey hai..........",spam
3559,Lol I know! Hey someone did a great inpersonation of flea on the forums. I love it!,ham
2022,"U can WIN å£100 of Music Gift Vouchers every week starting NOW Txt the word DRAW to 87066 TsCs www.ldew.com SkillGame,1Winaweek, age16.150ppermessSubscription",spam
4323,I am not having her number sir,ham
3889,"Double Mins & 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia with Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/HF8",spam
4527,HOW ARE U? I HAVE MISSED U! I HAVENT BEEN UP 2 MUCH A BIT BORED WITH THE HOLIDAY WANT 2 GO BAK 2 COLLEGE! SAD ISNT IT?xx,ham
15,"XXXMobileMovieClub: To use your credit, click the WAP link in the next txt message or click here>> http://wap. xxxmobilemovieclub.com?n=QJKGIGHJJGCBL",spam
5259,Can help u swoop by picking u up from wherever ur other birds r meeting if u want.,ham
3257,He fucking chickened out. He messaged me he would be late and woould buzz me and then I didn't hear a word from him,ham
2357,Okay same with me. Well thanks for the clarification,ham
3543,Lol ok ill try to send. Be warned Sprint is dead slow. You'll prolly get it tomorrow,ham
4677,It is a good thing I'm now getting the connection to bw,ham
3803,"No dude, its not fake..my frnds got money, thts y i'm reffering u..if u member wit my mail link, u vl be credited  &lt;#&gt; rs and il be getiing  &lt;#&gt; rs..i can draw my acc wen it is  &lt;#&gt; rs..",ham
4472,S but not able to sleep.,ham
3112,"Wat time liao, where still got.",ham
